City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.87,113.63,55.4,100,38,3.36,scattered clouds
1,Kaitangata,NZ,-46.28,169.85,46.0,90,72,1.99,broken clouds
2,Barrow,US,71.29,-156.79,46.4,93,90,6.93,fog
3,Domoni,KM,-12.26,44.53,74.84,71,0,1.48,clear sky
4,Westport,US,41.14,-73.36,84.99,58,1,14.99,clear sky
5,Pochutla,MX,15.74,-96.47,91.0,70,90,6.49,overcast clouds
6,Payo,ID,-3.75,103.64,72.86,86,100,2.71,overcast clouds
7,Severo-Kurilsk,RU,50.68,156.12,54.1,71,0,10.89,clear sky
8,Mataura,NZ,-46.19,168.86,46.99,97,53,1.99,broken clouds
9,Dikson,RU,73.51,80.55,43.54,80,0,13.73,clear sky
10,Nevel,RU,56.02,29.93,53.91,96,0,2.1,clear sky
11,Mar Del Plata,AR,-38.0,-57.56,57.2,54,0,9.17,clear sky
12,Iqaluit,CA,63.75,-68.51,55.4,58,75,3.36,broken clouds
13,Nemuro,JP,43.32,145.57,58.41,84,53,5.06,broken clouds
14,Faya,SA,18.39,42.45,78.8,16,20,2.73,few clouds
15,Goderich,CA,43.75,-81.72,78.01,76,0,7.0,clear sky
16,Hilo,US,19.73,-155.09,80.6,74,90,6.93,moderate rain
17,Saint-Pierre,RE,-21.34,55.48,68.0,64,0,5.82,clear sky
18,Saskylakh,RU,71.92,114.08,34.09,91,10,4.76,clear sky
19,Hermanus,ZA,-34.42,19.23,48.0,93,86,1.99,overcast clouds
20,Bumba,CD,2.18,22.47,73.11,94,100,2.82,light rain
21,San Patricio,MX,19.22,-104.7,87.8,74,75,9.17,broken clouds
22,Rikitea,PF,-23.12,-134.97,65.91,68,0,21.39,clear sky
23,Kargil,IN,34.57,76.1,54.59,53,0,7.67,clear sky
24,Nienburg,DE,52.63,9.22,80.6,61,75,4.7,shower rain
25,Port Augusta,AU,-32.5,137.77,41.0,93,70,10.29,broken clouds
26,Porto Novo,BJ,6.5,2.6,77.0,88,20,10.29,few clouds
27,Cape Town,ZA,-33.93,18.42,54.0,93,48,2.24,scattered clouds
28,Albany,US,42.6,-73.97,86.0,30,66,9.1,broken clouds
29,Laguna,US,38.42,-121.42,82.0,50,90,3.71,smoke
30,Ribeira Grande,PT,38.52,-28.7,73.4,69,75,4.7,broken clouds
31,Port Lincoln,AU,-34.73,135.87,49.33,66,5,21.41,clear sky
32,Port Alfred,ZA,-33.59,26.89,58.77,73,0,13.33,clear sky
33,Busselton,AU,-33.65,115.33,48.99,75,100,7.63,overcast clouds
34,Vaini,TO,-21.2,-175.2,73.4,100,40,3.36,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,46.4,61,75,11.41,broken clouds
36,Fereydun Kenar,IR,36.69,52.52,80.6,74,0,2.24,clear sky
37,Victoria,HK,22.29,114.16,82.0,74,100,4.0,overcast clouds
38,Cherskiy,RU,68.75,161.3,40.55,80,100,13.67,overcast clouds
39,East London,ZA,-33.02,27.91,59.86,70,0,10.63,clear sky
40,New Norfolk,AU,-42.78,147.06,36.0,89,5,2.08,clear sky
41,Port Elizabeth,ZA,-33.92,25.57,55.4,87,0,6.93,clear sky
42,Muisne,EC,0.6,-80.03,80.6,78,75,5.82,broken clouds
43,Coquimbo,CL,-29.95,-71.34,57.2,71,0,12.75,clear sky
44,Avarua,CK,-21.21,-159.78,77.0,78,31,18.34,scattered clouds
45,Shimoda,JP,34.67,138.95,75.0,92,0,3.0,clear sky
46,Sitka,US,57.05,-135.33,62.6,72,40,1.41,scattered clouds
47,Ternate,ID,0.8,127.4,79.61,78,100,3.22,light rain
48,Lebu,CL,-37.62,-73.65,53.53,70,0,16.55,clear sky
49,Tasiilaq,GL,65.61,-37.64,46.4,65,20,8.05,few clouds
50,Kapaa,US,22.08,-159.32,80.6,74,90,14.99,overcast clouds
51,Nelidovo,RU,56.22,32.78,53.87,83,0,2.73,clear sky
52,Khatanga,RU,71.97,102.5,42.85,67,0,13.22,clear sky
53,Qaanaaq,GL,77.48,-69.36,39.52,79,88,4.09,overcast clouds
54,Geraldton,AU,-28.77,114.6,57.2,76,90,9.17,overcast clouds
55,Katobu,ID,-4.94,122.53,72.18,90,0,3.31,clear sky
56,Ende,ID,-8.84,121.66,74.01,70,0,2.15,clear sky
57,Bredasdorp,ZA,-34.53,20.04,51.8,93,89,1.12,overcast clouds
58,Bayir,TR,37.27,28.22,87.8,31,0,11.41,clear sky
59,Punta Arenas,CL,-53.15,-70.92,46.4,70,75,18.34,broken clouds
60,Havoysund,NO,71.0,24.66,60.8,82,75,4.7,broken clouds
61,Ilulissat,GL,69.22,-51.1,50.0,43,20,3.36,few clouds
62,College,US,64.86,-147.8,53.6,93,75,2.21,mist
63,Broome,US,42.25,-75.83,84.0,36,1,10.29,clear sky
64,Horodyshche,UA,49.28,31.45,67.24,83,16,10.2,few clouds
65,Axim,GH,4.87,-2.24,75.52,87,84,7.11,broken clouds
66,Jamestown,US,42.1,-79.24,80.01,53,20,3.36,few clouds
67,Bethel,US,41.37,-73.41,86.0,54,40,10.29,scattered clouds
68,Rancho Palos Verdes,US,33.74,-118.39,82.99,74,40,9.17,scattered clouds
69,Karratha,AU,-20.74,116.85,70.77,31,0,8.72,clear sky
70,Dawei,MM,14.08,98.2,74.07,93,100,1.12,light rain
71,Tuktoyaktuk,CA,69.45,-133.04,52.16,73,0,2.28,clear sky
72,Aden,YE,12.78,45.04,88.18,59,53,4.65,broken clouds
73,Mitsamiouli,KM,-11.38,43.28,75.2,78,20,4.7,few clouds
74,Mahebourg,MU,-20.41,57.7,71.6,68,40,9.17,scattered clouds
75,Loubomo,CG,-4.2,12.67,71.29,82,40,3.51,scattered clouds
76,Urusha,RU,54.05,122.9,51.57,95,72,2.33,broken clouds
