City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Havelock,US,34.88,-76.9,86.0,62,20,6.93,few clouds
1,Isangel,VU,-19.55,169.27,74.61,87,4,3.36,clear sky
2,Rikitea,PF,-23.12,-134.97,69.44,83,84,22.28,broken clouds
3,Arman,RU,59.7,150.17,40.37,70,0,10.04,clear sky
4,Vaini,TO,-21.2,-175.2,73.4,94,20,8.05,few clouds
5,Pimentel,PE,-6.84,-79.93,69.8,60,12,13.87,few clouds
6,Visconde Do Rio Branco,BR,-21.01,-42.84,67.21,59,90,7.74,overcast clouds
7,Kitimat,CA,54.05,-128.65,53.6,93,90,2.24,overcast clouds
8,Nikolskoye,RU,59.7,30.79,66.2,72,90,8.95,overcast clouds
9,Belmonte,BR,-15.86,-38.88,73.4,78,75,6.93,shower rain
10,Guerrero Negro,MX,27.98,-114.06,81.36,54,88,15.32,overcast clouds
11,Butaritari,KI,3.07,172.79,82.83,68,65,9.91,broken clouds
12,Iqaluit,CA,63.75,-68.51,46.4,75,75,4.7,broken clouds
13,Codrington,AU,-38.27,141.97,44.49,84,65,8.68,broken clouds
14,New Norfolk,AU,-42.78,147.06,39.0,86,22,2.98,few clouds
15,Mataura,NZ,-46.19,168.86,44.01,91,46,4.0,scattered clouds
16,Mogzon,RU,51.74,111.96,51.64,92,85,4.68,overcast clouds
17,Atuona,PF,-9.8,-139.03,78.1,77,10,15.88,clear sky
18,Sur,OM,22.57,59.53,80.64,75,95,13.24,overcast clouds
19,Yichang,CN,30.71,111.28,79.0,85,0,2.21,clear sky
20,Provideniya,RU,64.38,-173.3,49.78,91,98,4.7,light rain
21,Yar-Sale,RU,66.83,70.83,53.29,92,56,11.97,broken clouds
22,Ushuaia,AR,-54.8,-68.3,35.6,74,40,11.41,scattered clouds
23,Bluff,NZ,-46.6,168.33,44.01,91,32,4.0,scattered clouds
24,Leningradskiy,RU,69.38,178.42,43.38,90,100,10.54,overcast clouds
25,Albany,US,42.6,-73.97,88.0,62,0,4.29,clear sky
26,Victoria,HK,22.29,114.16,84.0,74,100,8.01,overcast clouds
27,Imbituba,BR,-28.24,-48.67,64.4,72,75,3.36,broken clouds
28,Puerto Ayora,EC,-0.74,-90.35,71.6,64,75,20.8,broken clouds
29,Madang,PG,-5.22,145.8,77.41,89,100,6.44,moderate rain
30,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,20.8,few clouds
31,Hermanus,ZA,-34.42,19.23,57.99,91,100,1.01,overcast clouds
32,Yellowknife,CA,62.46,-114.35,55.99,71,40,8.05,scattered clouds
33,Qaanaaq,GL,77.48,-69.36,37.38,85,100,1.21,overcast clouds
34,Karakol,KG,42.49,78.39,61.48,43,0,2.1,clear sky
35,Bengkulu,ID,-3.8,102.27,76.82,88,96,4.16,overcast clouds
36,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,74.05,35,12,10.98,few clouds
37,Luderitz,NA,-26.65,15.16,61.02,67,0,15.37,clear sky
38,Barrow,US,71.29,-156.79,37.4,93,90,13.87,fog
39,Pacific Grove,US,36.62,-121.92,64.4,72,40,3.36,haze
40,Boddam,GB,57.47,-1.78,54.0,81,100,10.29,overcast clouds
41,Kaitangata,NZ,-46.28,169.85,53.01,89,98,18.01,light rain
42,Upernavik,GL,72.79,-56.15,44.82,82,83,9.1,broken clouds
43,Bredasdorp,ZA,-34.53,20.04,59.0,87,100,11.41,overcast clouds
44,Dikson,RU,73.51,80.55,46.54,78,0,9.64,clear sky
45,Kapaa,US,22.08,-159.32,78.8,83,90,9.17,overcast clouds
46,Punta Arenas,CL,-53.15,-70.92,37.4,59,20,26.4,few clouds
47,Fortuna,US,40.6,-124.16,61.0,93,90,3.36,overcast clouds
48,Chuy,UY,-33.7,-53.46,62.53,55,0,10.42,clear sky
49,Geraldton,AU,-28.77,114.6,50.0,87,40,2.24,scattered clouds
50,Marion,US,39.77,-86.16,84.99,61,75,4.7,broken clouds
51,Thompson,CA,55.74,-97.86,46.4,100,90,8.05,light rain
52,Nokaneng,BW,-19.67,22.27,70.38,34,11,3.0,few clouds
53,Busselton,AU,-33.65,115.33,46.0,77,1,4.83,clear sky
54,Pouembout,NC,-21.13,164.9,67.12,84,31,3.13,scattered clouds
55,Ilulissat,GL,69.22,-51.1,46.4,52,3,3.36,clear sky
56,Noyabrsk,RU,63.2,75.45,51.46,95,98,7.85,overcast clouds
57,Lata,PT,40.16,-8.33,82.99,47,32,8.21,scattered clouds
58,Saint-Philippe,RE,-21.36,55.77,69.8,72,25,2.24,scattered clouds
59,Mahebourg,MU,-20.41,57.7,71.6,73,40,16.11,scattered clouds
60,Itarema,BR,-2.92,-39.92,84.4,59,2,20.92,clear sky
61,Saint Anthony,US,45.02,-93.22,86.0,69,1,3.36,clear sky
62,Bam,IR,29.11,58.36,93.07,24,58,25.05,broken clouds
63,Nantucket,US,41.28,-70.1,78.8,78,1,8.05,clear sky
64,Broome,US,42.25,-75.83,88.0,54,1,9.17,clear sky
65,Arraial Do Cabo,BR,-22.97,-42.03,73.4,60,40,8.05,scattered clouds
66,Tari,NG,12.41,4.49,85.93,62,97,7.87,overcast clouds
67,Castro,BR,-24.79,-50.01,58.14,68,33,10.85,scattered clouds
68,Khatanga,RU,71.97,102.5,55.38,67,85,9.57,overcast clouds
69,Victor Harbor,AU,-35.57,138.62,39.99,92,71,3.38,light rain
70,Nome,US,64.5,-165.41,51.8,87,90,5.82,overcast clouds
71,Lillooet,CA,50.69,-121.94,55.99,76,1,4.7,clear sky
72,Talcahuano,CL,-36.72,-73.12,55.4,71,90,26.4,overcast clouds
73,Avarua,CK,-21.21,-159.78,71.6,78,4,5.82,clear sky
74,Dunedin,NZ,-45.87,170.5,48.99,96,100,1.01,overcast clouds
75,Luzhou,CN,28.87,105.44,78.62,87,53,3.33,light rain
76,Faya,SA,18.39,42.45,77.0,69,20,9.17,few clouds
77,Sydney Mines,CA,46.24,-60.22,78.01,50,38,7.0,scattered clouds
78,Namibe,AO,-15.2,12.15,66.87,87,34,8.08,scattered clouds
79,Kharp,RU,66.8,65.81,49.5,84,60,3.09,broken clouds
80,Aras,ES,42.56,-2.36,78.8,36,64,8.05,broken clouds
81,Am Timan,TD,11.03,20.28,76.78,88,98,3.62,moderate rain
82,Bondoukou,CI,8.03,-2.8,82.2,66,69,5.06,broken clouds
83,Hobart,AU,-42.88,147.33,42.8,85,40,5.82,scattered clouds
84,Saldanha,ZA,-33.01,17.94,62.6,67,100,9.17,overcast clouds
85,Soe,ID,-9.86,124.28,61.21,93,10,5.77,clear sky
86,College,US,64.86,-147.8,55.99,93,75,1.63,broken clouds
87,Jamestown,US,42.1,-79.24,75.99,88,75,5.01,broken clouds
88,Vangaindrano,MG,-23.35,47.6,66.79,87,0,6.8,clear sky
89,Cape Town,ZA,-33.93,18.42,62.01,82,20,9.17,few clouds
90,Taoudenni,ML,22.68,-3.98,114.82,6,46,13.33,scattered clouds
91,Roma,US,43.21,-75.46,84.0,58,1,5.35,clear sky
92,Lavrentiya,RU,65.58,-171.0,46.65,95,97,4.79,overcast clouds
93,Talnakh,RU,69.49,88.4,57.2,93,100,6.71,overcast clouds
94,Port Alfred,ZA,-33.59,26.89,59.49,81,1,9.35,clear sky
95,Hilo,US,19.73,-155.09,75.2,88,75,3.62,broken clouds
96,Hasaki,JP,35.73,140.83,75.2,94,40,4.7,scattered clouds
97,Tubuala,PA,9.52,-79.03,84.2,79,40,5.82,scattered clouds
98,Half Moon Bay,US,37.46,-122.43,72.0,77,20,3.4,few clouds
