City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Havelock,US,86.0,few clouds,34.88,-76.9,Sherwood Motel
1,Isangel,VU,74.61,clear sky,-19.55,169.27,Volcano Sea View Tree House
2,Rikitea,PF,69.44,broken clouds,-23.12,-134.97,Pension Maro'i
4,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Pimentel,PE,69.8,few clouds,-6.84,-79.93,Casona Del Muelle
6,Visconde Do Rio Branco,BR,67.21,overcast clouds,-21.01,-42.84,Rio Branco palace hotel
7,Kitimat,CA,53.6,overcast clouds,54.05,-128.65,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
8,Nikolskoye,RU,66.2,overcast clouds,59.7,30.79,Tourist House - Sablino
9,Belmonte,BR,73.4,shower rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
10,Guerrero Negro,MX,81.36,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
11,Butaritari,KI,82.83,broken clouds,3.07,172.79,Isles Sunset Lodge
16,Mogzon,RU,51.64,overcast clouds,51.74,111.96,
17,Atuona,PF,78.1,clear sky,-9.8,-139.03,Villa Enata
18,Sur,OM,80.64,overcast clouds,22.57,59.53,Sur Plaza Hotel
19,Yichang,CN,79.0,clear sky,30.71,111.28,Gezhouba Hotel
21,Yar-Sale,RU,53.29,broken clouds,66.83,70.83,Yalemd
25,Albany,US,88.0,clear sky,42.6,-73.97,
26,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
27,Imbituba,BR,64.4,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
28,Puerto Ayora,EC,71.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
29,Madang,PG,77.41,moderate rain,-5.22,145.8,Comfort Inn Hotel
30,Port Elizabeth,ZA,60.8,few clouds,-33.92,25.57,39 On Nile Guest House
31,Hermanus,ZA,57.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
32,Yellowknife,CA,55.99,scattered clouds,62.46,-114.35,The Explorer Hotel
34,Karakol,KG,61.48,clear sky,42.49,78.39,"Gostinitsa ""Al'tamira"""
35,Bengkulu,ID,76.82,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
36,Presidencia Roque Saenz Pena,AR,74.05,few clouds,-26.79,-60.44,Hotel Aconcagua
39,Pacific Grove,US,64.4,haze,36.62,-121.92,Lovers Point Inn
40,Boddam,GB,54.0,overcast clouds,57.47,-1.78,Palace Hotel
41,Kaitangata,NZ,53.01,light rain,-46.28,169.85,Kaitangata Motor Camp
43,Bredasdorp,ZA,59.0,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
45,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
47,Fortuna,US,61.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
48,Chuy,UY,62.53,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
49,Geraldton,AU,50.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
50,Marion,US,84.99,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
52,Nokaneng,BW,70.38,few clouds,-19.67,22.27,
54,Pouembout,NC,67.12,scattered clouds,-21.13,164.9,Camping de Tipenga
56,Noyabrsk,RU,51.46,overcast clouds,63.2,75.45,Hotel Uyutnaya
57,Lata,PT,82.99,scattered clouds,40.16,-8.33,Casa Maquia
58,Saint-Philippe,RE,69.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
