City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-08-21 22:55:31,-33.65,115.33,51.01,70,96,6.96
1,Steamboat Springs,US,2020-08-21 22:51:13,40.48,-106.83,89.01,12,1,8.05
2,Tura,IN,2020-08-21 22:55:32,25.52,90.22,72.86,94,86,4.03
3,Kapaa,US,2020-08-21 22:55:32,22.08,-159.32,86.0,66,40,12.75
4,Manavalakurichi,IN,2020-08-21 22:55:33,8.13,77.3,80.6,94,20,3.36
5,Lahaina,US,2020-08-21 22:55:33,20.88,-156.68,87.8,45,40,19.46
6,Kutum,SD,2020-08-21 22:55:34,14.2,24.67,74.62,66,48,4.83
7,Severo-Kurilsk,RU,2020-08-21 22:55:35,50.68,156.12,54.95,74,49,14.76
8,Agirish,RU,2020-08-21 22:55:35,61.92,63.02,54.39,97,100,9.53
9,Punta Arenas,CL,2020-08-21 22:53:24,-53.15,-70.92,41.0,80,75,14.99
10,Wajir,KE,2020-08-21 22:55:36,1.75,40.06,74.07,70,89,17.02
11,Isangel,VU,2020-08-21 22:50:49,-19.55,169.27,77.0,88,90,11.41
12,Mazara Del Vallo,IT,2020-08-21 22:55:38,37.66,12.59,77.0,83,0,5.82
13,Saint-Francois,FR,2020-08-21 22:55:38,46.42,3.91,69.8,73,68,9.17
14,Torbay,CA,2020-08-21 22:55:38,47.67,-52.73,66.0,63,75,13.87
15,Hasilpur,PK,2020-08-21 22:55:38,29.71,72.56,88.29,57,60,7.85
16,Iskateley,RU,2020-08-21 22:55:39,67.68,53.15,46.49,92,31,6.04
17,Celestun,MX,2020-08-21 22:55:39,20.87,-90.4,86.29,66,85,11.25
18,Chuy,UY,2020-08-21 22:55:39,-33.7,-53.46,46.58,74,0,5.06
19,Namibe,AO,2020-08-21 22:55:40,-15.2,12.15,65.43,60,91,4.83
20,Carndonagh,IE,2020-08-21 22:52:32,55.25,-7.27,52.59,92,24,8.66
21,Kaitangata,NZ,2020-08-21 22:55:41,-46.28,169.85,53.01,82,80,4.0
22,Hermanus,ZA,2020-08-21 22:55:42,-34.42,19.23,54.0,76,43,1.63
23,Hithadhoo,MV,2020-08-21 22:55:42,-0.6,73.08,83.52,72,61,7.43
24,Olafsvik,IS,2020-08-21 22:55:43,64.89,-23.71,51.21,64,0,15.12
25,Jamestown,US,2020-08-21 22:55:43,42.1,-79.24,77.0,53,1,8.05
26,Sao Felix Do Xingu,BR,2020-08-21 22:55:43,-6.64,-51.99,81.63,28,46,0.27
27,Marawi,PH,2020-08-21 22:55:44,8.0,124.29,73.99,90,76,5.99
28,Sorland,NO,2020-08-21 22:55:45,67.67,12.69,57.83,86,100,18.66
29,Komsomolskiy,UZ,2020-08-21 22:55:45,40.43,71.72,69.8,49,0,6.93
30,Atuona,PF,2020-08-21 22:55:46,-9.8,-139.03,78.62,77,14,12.71
31,Pevek,RU,2020-08-21 22:55:46,69.7,170.31,38.89,93,100,5.61
32,Quatre Cocos,MU,2020-08-21 22:52:18,-20.21,57.76,69.8,73,40,8.05
33,Port Alfred,ZA,2020-08-21 22:55:48,-33.59,26.89,57.6,77,31,12.28
34,Castro,BR,2020-08-21 22:55:48,-24.79,-50.01,40.66,87,99,6.42
35,Rikitea,PF,2020-08-21 22:55:07,-23.12,-134.97,66.11,68,20,22.48
36,Bongaree,AU,2020-08-21 22:55:49,-27.08,153.16,66.0,48,75,1.01
37,Barceloneta,PR,2020-08-21 22:55:49,18.45,-66.54,82.4,88,75,11.41
38,Ushuaia,AR,2020-08-21 22:54:38,-54.8,-68.3,42.8,70,75,16.11
39,Sao Joao Da Barra,BR,2020-08-21 22:55:50,-21.64,-41.05,66.24,79,100,18.34
40,Kieta,PG,2020-08-21 22:55:51,-6.22,155.63,84.2,67,62,2.08
41,Mar Del Plata,AR,2020-08-21 22:52:45,-38.0,-57.56,51.01,87,0,3.36
42,Hobart,AU,2020-08-21 22:55:31,-42.88,147.33,39.99,86,20,8.05
43,Nurobod,UZ,2020-08-21 22:55:52,40.91,69.8,66.2,42,0,6.93
44,Longyearbyen,SJ,2020-08-21 22:55:53,78.22,15.64,41.0,93,75,2.24
45,Faanui,PF,2020-08-21 22:55:53,-16.48,-151.75,77.14,80,7,22.57
46,Hasaki,JP,2020-08-21 22:55:53,35.73,140.83,79.0,100,75,8.05
47,Bambous Virieux,MU,2020-08-21 22:55:54,-20.34,57.76,69.8,73,40,8.05
48,La Romana,DO,2020-08-21 22:55:54,18.43,-68.97,87.8,70,40,8.05
49,Arraial Do Cabo,BR,2020-08-21 22:55:55,-22.97,-42.03,64.4,88,75,14.99
50,Puerto Ayora,EC,2020-08-21 22:55:56,-0.74,-90.35,69.01,81,88,8.01
51,Cape Town,ZA,2020-08-21 22:55:57,-33.93,18.42,48.99,100,11,1.12
52,Georgetown,MY,2020-08-21 22:55:48,5.41,100.34,78.8,94,20,4.7
53,Cabo San Lucas,MX,2020-08-21 22:51:24,22.89,-109.91,86.0,74,40,6.93
54,Qaanaaq,GL,2020-08-21 22:55:58,77.48,-69.36,38.66,76,91,3.29
55,Sitrah,BH,2020-08-21 22:55:58,26.15,50.62,96.8,20,36,5.82
56,Baruun-Urt,MN,2020-08-21 22:55:58,46.68,113.28,62.02,49,100,3.36
57,Kirakira,SB,2020-08-21 22:55:59,-10.45,161.92,84.88,71,73,8.25
58,Alice Springs,AU,2020-08-21 22:55:59,-23.7,133.88,53.6,37,0,1.12
59,Xocali,AZ,2020-08-21 22:56:00,39.91,46.79,67.73,62,2,1.99
60,Costa Rica,BR,2020-08-21 22:55:30,-23.42,-54.65,44.78,71,0,5.79
61,Road Town,VG,2020-08-21 22:56:01,18.42,-64.62,82.99,95,54,8.01
62,Mae Ramat,TH,2020-08-21 22:56:01,16.98,98.52,75.2,100,90,2.24
63,Avarua,CK,2020-08-21 22:56:02,-21.21,-159.78,78.8,78,9,19.46
64,Kununurra,AU,2020-08-21 22:56:02,-15.77,128.73,71.6,34,61,2.91
65,Klaksvik,FO,2020-08-21 22:56:02,62.23,-6.59,50.0,100,83,20.8
66,Labuhan,ID,2020-08-21 22:56:03,-6.88,112.21,76.03,78,76,8.72
67,Kaeo,NZ,2020-08-21 22:56:03,-35.1,173.78,61.0,3,2,5.99
